,date,value_predict,X,date_end,nox
1,01/01/2015 00:00,80.56553778,1,01/01/2015 01:00,38.71346
2,01/01/2015 01:00,77.80460825,2,01/01/2015 02:00,40.2951
3,01/01/2015 02:00,81.81058177,3,01/01/2015 03:00,41.41901
4,01/01/2015 03:00,80.02861137,4,01/01/2015 04:00,42.02814
5,01/01/2015 04:00,79.01535235,5,01/01/2015 05:00,35.29471
6,01/01/2015 05:00,80.90039993,6,01/01/2015 06:00,31.50557
7,01/01/2015 06:00,83.41777754,7,01/01/2015 07:00,34.17016
8,01/01/2015 07:00,81.22460099,8,01/01/2015 08:00,30.16156
9,01/01/2015 08:00,83.06104549,9,01/01/2015 09:00,33.14697
10,01/01/2015 09:00,79.27571061,10,01/01/2015 10:00,31.53187
11,01/01/2015 10:00,83.01463492,11,01/01/2015 11:00,30.71093
12,01/01/2015 11:00,82.19673246,12,01/01/2015 12:00,35.35687
13,01/01/2015 12:00,77.8462515,13,01/01/2015 13:00,38.28634
14,01/01/2015 13:00,76.36549964,14,01/01/2015 14:00,36.30499
15,01/01/2015 14:00,82.49851239,15,01/01/2015 15:00,35.70159
16,01/01/2015 15:00,80.68142019,16,01/01/2015 16:00,34.52158
17,01/01/2015 16:00,81.89942068,17,01/01/2015 17:00,28.35425
18,01/01/2015 17:00,77.9995746,18,01/01/2015 18:00,31.5596
19,01/01/2015 18:00,83.30874809,19,01/01/2015 19:00,30.41975
20,01/01/2015 19:00,83.28874948,20,01/01/2015 20:00,31.89476
21,01/01/2015 20:00,84.68527093,21,01/01/2015 21:00,25.82736
22,01/01/2015 21:00,78.98296838,22,01/01/2015 22:00,24.09368
23,01/01/2015 22:00,80.10371387,23,01/01/2015 23:00,20.62966
24,01/01/2015 23:00,79.78031181,24,02/01/2015 00:00,17.88713
25,02/01/2015 00:00,79.90141901,25,02/01/2015 01:00,15.59198
26,02/01/2015 01:00,77.99903233,26,02/01/2015 02:00,12.56608
27,02/01/2015 02:00,79.6208801,27,02/01/2015 03:00,14.31984
28,02/01/2015 03:00,82.07702226,28,02/01/2015 04:00,16.10708
29,02/01/2015 04:00,82.69226218,29,02/01/2015 05:00,26.57562
30,02/01/2015 05:00,74.90740983,30,02/01/2015 06:00,52.66451
31,02/01/2015 06:00,83.86348742,31,02/01/2015 07:00,68.5483
32,02/01/2015 07:00,79.14944349,32,02/01/2015 08:00,97.56858
33,02/01/2015 08:00,75.92471471,33,02/01/2015 09:00,96.24322
34,02/01/2015 09:00,77.81817773,34,02/01/2015 10:00,97.83537
35,02/01/2015 10:00,81.82645197,35,02/01/2015 11:00,77.06562
