,date,value_predict,X,date_end,nox
1,01/01/2015 00:00,80.12587377,1,01/01/2015 01:00,38.71346
2,01/01/2015 01:00,77.07540292,2,01/01/2015 02:00,40.2951
3,01/01/2015 02:00,81.91906571,3,01/01/2015 03:00,41.41901
4,01/01/2015 03:00,80.73122704,4,01/01/2015 04:00,42.02814
5,01/01/2015 04:00,83.15390518,5,01/01/2015 05:00,35.29471
6,01/01/2015 05:00,79.44321301,6,01/01/2015 06:00,31.50557
7,01/01/2015 06:00,79.95604386,7,01/01/2015 07:00,34.17016
8,01/01/2015 07:00,84.87978832,8,01/01/2015 08:00,30.16156
9,01/01/2015 08:00,78.89124559,9,01/01/2015 09:00,33.14697
10,01/01/2015 09:00,84.21233086,10,01/01/2015 10:00,31.53187
11,01/01/2015 10:00,80.47689864,11,01/01/2015 11:00,30.71093
12,01/01/2015 11:00,80.46418327,12,01/01/2015 12:00,35.35687
13,01/01/2015 12:00,80.1889526,13,01/01/2015 13:00,38.28634
14,01/01/2015 13:00,80.53470067,14,01/01/2015 14:00,36.30499
15,01/01/2015 14:00,81.00670739,15,01/01/2015 15:00,35.70159
16,01/01/2015 15:00,79.85979877,16,01/01/2015 16:00,34.52158
17,01/01/2015 16:00,79.6134782,17,01/01/2015 17:00,28.35425
18,01/01/2015 17:00,79.22040745,18,01/01/2015 18:00,31.5596
19,01/01/2015 18:00,78.75144553,19,01/01/2015 19:00,30.41975
20,01/01/2015 19:00,81.68313776,20,01/01/2015 20:00,31.89476
21,01/01/2015 20:00,79.50501,21,01/01/2015 21:00,25.82736
22,01/01/2015 21:00,80.57725322,22,01/01/2015 22:00,24.09368
23,01/01/2015 22:00,78.50769606,23,01/01/2015 23:00,20.62966
24,01/01/2015 23:00,79.80711248,24,02/01/2015 00:00,17.88713
25,02/01/2015 00:00,85.31884296,25,02/01/2015 01:00,15.59198
26,02/01/2015 01:00,81.17898313,26,02/01/2015 02:00,12.56608
27,02/01/2015 02:00,81.53073598,27,02/01/2015 03:00,14.31984
28,02/01/2015 03:00,81.41871345,28,02/01/2015 04:00,16.10708
29,02/01/2015 04:00,80.76524245,29,02/01/2015 05:00,26.57562
30,02/01/2015 05:00,80.3462421,30,02/01/2015 06:00,52.66451
31,02/01/2015 06:00,81.16607662,31,02/01/2015 07:00,68.5483
32,02/01/2015 07:00,82.13692161,32,02/01/2015 08:00,97.56858
33,02/01/2015 08:00,76.06979863,33,02/01/2015 09:00,96.24322
34,02/01/2015 09:00,79.85992648,34,02/01/2015 10:00,97.83537
35,02/01/2015 10:00,82.43247835,35,02/01/2015 11:00,77.06562
36,02/01/2015 11:00,81.06549333,36,02/01/2015 12:00,73.67333
37,02/01/2015 12:00,80.176996,37,02/01/2015 13:00,72.20644
38,02/01/2015 13:00,77.57522053,38,02/01/2015 14:00,79.68097
39,02/01/2015 14:00,79.14557963,39,02/01/2015 15:00,79.05462
40,02/01/2015 15:00,86.96590064,40,02/01/2015 16:00,92.31303
41,02/01/2015 16:00,77.50423819,41,02/01/2015 17:00,85.20044
42,02/01/2015 17:00,80.18676761,42,02/01/2015 18:00,106.77296
43,02/01/2015 18:00,82.14652811,43,02/01/2015 19:00,115.1784
44,02/01/2015 19:00,79.57909083,44,02/01/2015 20:00,125.45713
45,02/01/2015 20:00,78.54708801,45,02/01/2015 21:00,110.97903
46,02/01/2015 21:00,82.67589529,46,02/01/2015 22:00,86.40484
47,02/01/2015 22:00,82.00819344,47,02/01/2015 23:00,84.84137
48,02/01/2015 23:00,78.67051427,48,03/01/2015 00:00,84.40341
49,03/01/2015 00:00,78.27832822,49,03/01/2015 01:00,72.17393
50,03/01/2015 01:00,81.19368606,50,03/01/2015 02:00,55.33564
51,03/01/2015 02:00,79.50543404,51,03/01/2015 03:00,50.89019
52,03/01/2015 03:00,82.49207299,52,03/01/2015 04:00,42.82327
53,03/01/2015 04:00,77.91024714,53,03/01/2015 05:00,32.49577
54,03/01/2015 06:00,81.86237473,55,03/01/2015 07:00,52.21364
55,03/01/2015 07:00,78.07367739,56,03/01/2015 08:00,76.80839
56,03/01/2015 08:00,79.72009465,57,03/01/2015 09:00,99.1177
57,03/01/2015 09:00,82.02385442,58,03/01/2015 10:00,127.3529
58,03/01/2015 10:00,79.38391936,59,03/01/2015 11:00,127.55323
59,03/01/2015 11:00,81.81979542,60,03/01/2015 12:00,113.58433
60,03/01/2015 12:00,80.29219228,61,03/01/2015 13:00,129.39927
61,03/01/2015 13:00,79.01546842,62,03/01/2015 14:00,165.44033
62,03/01/2015 14:00,77.49059641,63,03/01/2015 15:00,153.5465
63,03/01/2015 15:00,79.13677299,64,03/01/2015 16:00,128.51378
64,03/01/2015 16:00,84.27733841,65,03/01/2015 17:00,116.80498
65,03/01/2015 17:00,79.68430228,66,03/01/2015 18:00,130.75763
66,03/01/2015 19:00,83.87155457,68,03/01/2015 20:00,127.49347
67,03/01/2015 20:00,78.72552246,69,03/01/2015 21:00,100.44259
68,03/01/2015 21:00,80.87259901,70,03/01/2015 22:00,125.91709
69,03/01/2015 22:00,79.80494327,71,03/01/2015 23:00,150.72221
70,03/01/2015 23:00,81.75965329,72,04/01/2015 00:00,92.16529
71,04/01/2015 00:00,80.82780275,73,04/01/2015 01:00,91.02671
72,04/01/2015 01:00,83.68776996,74,04/01/2015 02:00,117.73796
73,04/01/2015 04:00,83.33047176,77,04/01/2015 05:00,62.63007
74,04/01/2015 05:00,84.71016413,78,04/01/2015 06:00,91.1727
75,04/01/2015 06:00,79.9807201,79,04/01/2015 07:00,111.7053
76,04/01/2015 07:00,82.55087531,80,04/01/2015 08:00,131.01103
77,04/01/2015 08:00,79.05710563,81,04/01/2015 09:00,140.52142
78,04/01/2015 09:00,83.1076157,82,04/01/2015 10:00,121.39068
79,04/01/2015 10:00,81.59986528,83,04/01/2015 11:00,121.88076
80,04/01/2015 11:00,84.31118133,84,04/01/2015 12:00,73.15838
81,04/01/2015 12:00,81.0932604,85,04/01/2015 13:00,68.91359
82,04/01/2015 13:00,83.06528033,86,04/01/2015 14:00,65.17513
83,04/01/2015 14:00,80.41611332,87,04/01/2015 15:00,77.39744
84,04/01/2015 15:00,83.6665992,88,04/01/2015 16:00,76.73285
85,04/01/2015 16:00,84.32951144,89,04/01/2015 17:00,77.7044
86,04/01/2015 17:00,83.04507506,90,04/01/2015 18:00,84.54206
87,04/01/2015 18:00,80.3827246,91,04/01/2015 19:00,94.95467
88,04/01/2015 19:00,79.55370222,92,04/01/2015 20:00,116.16573
89,04/01/2015 21:00,79.44201438,94,04/01/2015 22:00,134.32539
90,04/01/2015 22:00,84.00746337,95,04/01/2015 23:00,128.48988
91,05/01/2015 00:00,80.64498025,97,05/01/2015 01:00,93.95156
92,05/01/2015 02:00,83.72483216,99,05/01/2015 03:00,73.72544
93,05/01/2015 03:00,79.48885722,100,05/01/2015 04:00,85.12729
94,05/01/2015 04:00,81.64877185,101,05/01/2015 05:00,63.44049
95,05/01/2015 07:00,82.84575388,104,05/01/2015 08:00,106.51812
96,05/01/2015 10:00,79.07130934,107,05/01/2015 11:00,127.73827
97,05/01/2015 11:00,83.99355868,108,05/01/2015 12:00,98.57694
98,05/01/2015 12:00,81.48274698,109,05/01/2015 13:00,102.96231
99,05/01/2015 13:00,80.09291424,110,05/01/2015 14:00,100.991
100,05/01/2015 14:00,84.68367408,111,05/01/2015 15:00,89.91667
101,05/01/2015 15:00,81.34018753,112,05/01/2015 16:00,83.88177
102,05/01/2015 16:00,83.52613462,113,05/01/2015 17:00,73.18038
103,05/01/2015 17:00,83.58068249,114,05/01/2015 18:00,75.83015
104,05/01/2015 18:00,80.22729752,115,05/01/2015 19:00,66.74434
105,05/01/2015 19:00,81.78358953,116,05/01/2015 20:00,48.34991
106,05/01/2015 20:00,79.70992446,117,05/01/2015 21:00,43.47447
107,05/01/2015 21:00,79.37144275,118,05/01/2015 22:00,33.46636
108,05/01/2015 22:00,84.89100546,119,05/01/2015 23:00,38.98058
109,05/01/2015 23:00,80.46655026,120,06/01/2015 00:00,51.55622
110,06/01/2015 00:00,79.01453917,121,06/01/2015 01:00,40.69991
111,06/01/2015 01:00,81.09657157,122,06/01/2015 02:00,30.65642
112,06/01/2015 02:00,78.17559319,123,06/01/2015 03:00,29.70065
113,06/01/2015 03:00,79.83068934,124,06/01/2015 04:00,28.63156
114,06/01/2015 04:00,81.39181824,125,06/01/2015 05:00,31.52087
115,06/01/2015 05:00,83.41276519,126,06/01/2015 06:00,36.50198
116,06/01/2015 06:00,84.65517782,127,06/01/2015 07:00,43.24832
117,06/01/2015 07:00,81.2888198,128,06/01/2015 08:00,70.92554
118,06/01/2015 08:00,78.84163595,129,06/01/2015 09:00,89.58772
119,06/01/2015 09:00,81.01499916,130,06/01/2015 10:00,80.85142
120,06/01/2015 10:00,81.67207094,131,06/01/2015 11:00,84.64056
121,06/01/2015 11:00,82.88728286,132,06/01/2015 12:00,79.27647
122,06/01/2015 12:00,81.67933554,133,06/01/2015 13:00,84.8887
