,date,date_end,nox
1,01/01/2015 00:00,01/01/2015 01:00,38.71346
2,01/01/2015 01:00,01/01/2015 02:00,40.2951
3,01/01/2015 02:00,01/01/2015 03:00,41.41901
4,01/01/2015 03:00,01/01/2015 04:00,42.02814
5,01/01/2015 04:00,01/01/2015 05:00,35.29471
6,01/01/2015 05:00,01/01/2015 06:00,31.50557
7,01/01/2015 06:00,01/01/2015 07:00,34.17016
8,01/01/2015 07:00,01/01/2015 08:00,30.16156
9,01/01/2015 08:00,01/01/2015 09:00,33.14697
10,01/01/2015 09:00,01/01/2015 10:00,31.53187
11,01/01/2015 10:00,01/01/2015 11:00,30.71093
12,01/01/2015 11:00,01/01/2015 12:00,35.35687
13,01/01/2015 12:00,01/01/2015 13:00,38.28634
14,01/01/2015 13:00,01/01/2015 14:00,36.30499
15,01/01/2015 14:00,01/01/2015 15:00,35.70159
16,01/01/2015 15:00,01/01/2015 16:00,34.52158
17,01/01/2015 16:00,01/01/2015 17:00,28.35425
18,01/01/2015 17:00,01/01/2015 18:00,31.5596
19,01/01/2015 18:00,01/01/2015 19:00,30.41975
20,01/01/2015 19:00,01/01/2015 20:00,31.89476
21,01/01/2015 20:00,01/01/2015 21:00,25.82736
22,01/01/2015 21:00,01/01/2015 22:00,24.09368
23,01/01/2015 22:00,01/01/2015 23:00,20.62966
24,01/01/2015 23:00,02/01/2015 00:00,17.88713
25,02/01/2015 00:00,02/01/2015 01:00,15.59198
26,02/01/2015 01:00,02/01/2015 02:00,12.56608
27,02/01/2015 02:00,02/01/2015 03:00,14.31984
28,02/01/2015 03:00,02/01/2015 04:00,16.10708
29,02/01/2015 04:00,02/01/2015 05:00,26.57562
30,02/01/2015 05:00,02/01/2015 06:00,52.66451
31,02/01/2015 06:00,02/01/2015 07:00,68.5483
32,02/01/2015 07:00,02/01/2015 08:00,97.56858
33,02/01/2015 08:00,02/01/2015 09:00,96.24322
34,02/01/2015 09:00,02/01/2015 10:00,97.83537
35,02/01/2015 10:00,02/01/2015 11:00,77.06562
36,02/01/2015 11:00,02/01/2015 12:00,73.67333
37,02/01/2015 12:00,02/01/2015 13:00,72.20644
38,02/01/2015 13:00,02/01/2015 14:00,79.68097
39,02/01/2015 14:00,02/01/2015 15:00,79.05462
40,02/01/2015 15:00,02/01/2015 16:00,92.31303
41,02/01/2015 16:00,02/01/2015 17:00,85.20044
42,02/01/2015 17:00,02/01/2015 18:00,106.77296
43,02/01/2015 18:00,02/01/2015 19:00,115.1784
44,02/01/2015 19:00,02/01/2015 20:00,125.45713
45,02/01/2015 20:00,02/01/2015 21:00,110.97903
46,02/01/2015 21:00,02/01/2015 22:00,86.40484
47,02/01/2015 22:00,02/01/2015 23:00,84.84137
48,02/01/2015 23:00,03/01/2015 00:00,84.40341
49,03/01/2015 00:00,03/01/2015 01:00,72.17393
50,03/01/2015 01:00,03/01/2015 02:00,55.33564
51,03/01/2015 02:00,03/01/2015 03:00,50.89019
52,03/01/2015 03:00,03/01/2015 04:00,42.82327
53,03/01/2015 04:00,03/01/2015 05:00,32.49577
54,03/01/2015 05:00,03/01/2015 06:00,64.73526
55,03/01/2015 06:00,03/01/2015 07:00,52.21364
56,03/01/2015 07:00,03/01/2015 08:00,76.80839
57,03/01/2015 08:00,03/01/2015 09:00,99.1177
58,03/01/2015 09:00,03/01/2015 10:00,127.3529
59,03/01/2015 10:00,03/01/2015 11:00,127.55323
60,03/01/2015 11:00,03/01/2015 12:00,113.58433
61,03/01/2015 12:00,03/01/2015 13:00,129.39927
62,03/01/2015 13:00,03/01/2015 14:00,165.44033
63,03/01/2015 14:00,03/01/2015 15:00,153.5465
64,03/01/2015 15:00,03/01/2015 16:00,128.51378
65,03/01/2015 16:00,03/01/2015 17:00,116.80498
66,03/01/2015 17:00,03/01/2015 18:00,130.75763
67,03/01/2015 18:00,03/01/2015 19:00,132.14801
68,03/01/2015 19:00,03/01/2015 20:00,127.49347
69,03/01/2015 20:00,03/01/2015 21:00,100.44259
70,03/01/2015 21:00,03/01/2015 22:00,125.91709
71,03/01/2015 22:00,03/01/2015 23:00,150.72221
72,03/01/2015 23:00,04/01/2015 00:00,92.16529
73,04/01/2015 00:00,04/01/2015 01:00,91.02671
74,04/01/2015 01:00,04/01/2015 02:00,117.73796
75,04/01/2015 02:00,04/01/2015 03:00,84.66016
76,04/01/2015 03:00,04/01/2015 04:00,99.65273
77,04/01/2015 04:00,04/01/2015 05:00,62.63007
78,04/01/2015 05:00,04/01/2015 06:00,91.1727
79,04/01/2015 06:00,04/01/2015 07:00,111.7053
80,04/01/2015 07:00,04/01/2015 08:00,131.01103
81,04/01/2015 08:00,04/01/2015 09:00,140.52142
82,04/01/2015 09:00,04/01/2015 10:00,121.39068
83,04/01/2015 10:00,04/01/2015 11:00,121.88076
84,04/01/2015 11:00,04/01/2015 12:00,73.15838
85,04/01/2015 12:00,04/01/2015 13:00,68.91359
86,04/01/2015 13:00,04/01/2015 14:00,65.17513
87,04/01/2015 14:00,04/01/2015 15:00,77.39744
88,04/01/2015 15:00,04/01/2015 16:00,76.73285
89,04/01/2015 16:00,04/01/2015 17:00,77.7044
90,04/01/2015 17:00,04/01/2015 18:00,84.54206
91,04/01/2015 18:00,04/01/2015 19:00,94.95467
92,04/01/2015 19:00,04/01/2015 20:00,116.16573
93,04/01/2015 20:00,04/01/2015 21:00,104.54251
94,04/01/2015 21:00,04/01/2015 22:00,134.32539
95,04/01/2015 22:00,04/01/2015 23:00,128.48988
96,04/01/2015 23:00,05/01/2015 00:00,115.97878
97,05/01/2015 00:00,05/01/2015 01:00,93.95156
98,05/01/2015 01:00,05/01/2015 02:00,65.97169
99,05/01/2015 02:00,05/01/2015 03:00,73.72544
100,05/01/2015 03:00,05/01/2015 04:00,85.12729
101,05/01/2015 04:00,05/01/2015 05:00,63.44049
102,05/01/2015 05:00,05/01/2015 06:00,75.22054
103,05/01/2015 06:00,05/01/2015 07:00,76.29967
104,05/01/2015 07:00,05/01/2015 08:00,106.51812
105,05/01/2015 08:00,05/01/2015 09:00,154.86899
106,05/01/2015 09:00,05/01/2015 10:00,162.48696
107,05/01/2015 10:00,05/01/2015 11:00,127.73827
108,05/01/2015 11:00,05/01/2015 12:00,98.57694
109,05/01/2015 12:00,05/01/2015 13:00,102.96231
110,05/01/2015 13:00,05/01/2015 14:00,100.991
111,05/01/2015 14:00,05/01/2015 15:00,89.91667
112,05/01/2015 15:00,05/01/2015 16:00,83.88177
113,05/01/2015 16:00,05/01/2015 17:00,73.18038
114,05/01/2015 17:00,05/01/2015 18:00,75.83015
115,05/01/2015 18:00,05/01/2015 19:00,66.74434
116,05/01/2015 19:00,05/01/2015 20:00,48.34991
117,05/01/2015 20:00,05/01/2015 21:00,43.47447
118,05/01/2015 21:00,05/01/2015 22:00,33.46636
119,05/01/2015 22:00,05/01/2015 23:00,38.98058
120,05/01/2015 23:00,06/01/2015 00:00,51.55622
121,06/01/2015 00:00,06/01/2015 01:00,40.69991
122,06/01/2015 01:00,06/01/2015 02:00,30.65642
123,06/01/2015 02:00,06/01/2015 03:00,29.70065
124,06/01/2015 03:00,06/01/2015 04:00,28.63156
125,06/01/2015 04:00,06/01/2015 05:00,31.52087
126,06/01/2015 05:00,06/01/2015 06:00,36.50198
