,date,date_end,o3
1,01/01/2015 00:00,01/01/2015 01:00,28.00632
2,01/01/2015 01:00,01/01/2015 02:00,25.0793
3,01/01/2015 02:00,01/01/2015 03:00,24.29765
4,01/01/2015 03:00,01/01/2015 04:00,23.74883
5,01/01/2015 04:00,01/01/2015 05:00,30.93335
6,01/01/2015 05:00,01/01/2015 06:00,33.17851
7,01/01/2015 06:00,01/01/2015 07:00,28.33894
8,01/01/2015 07:00,01/01/2015 08:00,31.23271
9,01/01/2015 08:00,01/01/2015 09:00,29.98539
10,01/01/2015 09:00,01/01/2015 10:00,30.5841
11,01/01/2015 10:00,01/01/2015 11:00,33.12862
12,01/01/2015 11:00,01/01/2015 12:00,29.18711
13,01/01/2015 12:00,01/01/2015 13:00,28.98754
14,01/01/2015 13:00,01/01/2015 14:00,29.53636
15,01/01/2015 14:00,01/01/2015 15:00,33.9269
16,01/01/2015 15:00,01/01/2015 16:00,37.2697
17,01/01/2015 16:00,01/01/2015 17:00,41.2611
18,01/01/2015 17:00,01/01/2015 18:00,39.81422
19,01/01/2015 18:00,01/01/2015 19:00,39.51486
20,01/01/2015 19:00,01/01/2015 20:00,38.5669
21,01/01/2015 20:00,01/01/2015 21:00,42.70798
22,01/01/2015 21:00,01/01/2015 22:00,44.25465
23,01/01/2015 22:00,01/01/2015 23:00,49.79272
24,01/01/2015 23:00,02/01/2015 00:00,53.08562
25,02/01/2015 00:00,02/01/2015 01:00,56.54483
26,02/01/2015 01:00,02/01/2015 02:00,54.68218
27,02/01/2015 02:00,02/01/2015 03:00,50.79057
28,02/01/2015 03:00,02/01/2015 04:00,53.78412
29,02/01/2015 04:00,02/01/2015 05:00,51.63874
30,02/01/2015 05:00,02/01/2015 06:00,47.54755
31,02/01/2015 06:00,02/01/2015 07:00,36.87056
32,02/01/2015 07:00,02/01/2015 08:00,30.18496
33,02/01/2015 08:00,02/01/2015 09:00,27.14152
34,02/01/2015 09:00,02/01/2015 10:00,29.23701
35,02/01/2015 10:00,02/01/2015 11:00,32.18066
36,02/01/2015 11:00,02/01/2015 12:00,38.26755
37,02/01/2015 12:00,02/01/2015 13:00,39.914
38,02/01/2015 13:00,02/01/2015 14:00,39.86411
39,02/01/2015 14:00,02/01/2015 15:00,37.9183
40,02/01/2015 15:00,02/01/2015 16:00,25.24561
41,02/01/2015 16:00,02/01/2015 17:00,14.76818
42,02/01/2015 17:00,02/01/2015 18:00,4.59011
43,02/01/2015 18:00,02/01/2015 19:00,2.54452
44,02/01/2015 19:00,02/01/2015 20:00,0.79828
45,02/01/2015 20:00,02/01/2015 21:00,2.89377
46,02/01/2015 21:00,02/01/2015 22:00,6.13678
47,02/01/2015 22:00,02/01/2015 23:00,6.28646
48,02/01/2015 23:00,03/01/2015 00:00,3.69205
49,03/01/2015 00:00,03/01/2015 01:00,9.04717
50,03/01/2015 01:00,03/01/2015 02:00,16.69736
51,03/01/2015 02:00,03/01/2015 03:00,29.73593
52,03/01/2015 03:00,03/01/2015 04:00,39.21551
53,03/01/2015 04:00,03/01/2015 05:00,51.33938
54,03/01/2015 05:00,03/01/2015 06:00,23.54926
55,03/01/2015 06:00,03/01/2015 07:00,30.13507
56,03/01/2015 07:00,03/01/2015 08:00,15.01764
57,03/01/2015 08:00,03/01/2015 09:00,8.13248
58,03/01/2015 09:00,03/01/2015 10:00,5.13893
59,03/01/2015 10:00,03/01/2015 11:00,9.37979
60,03/01/2015 11:00,03/01/2015 12:00,9.82882
61,03/01/2015 12:00,03/01/2015 13:00,8.38194
62,03/01/2015 13:00,03/01/2015 14:00,2.34495
63,03/01/2015 14:00,03/01/2015 15:00,4.73979
64,03/01/2015 15:00,03/01/2015 16:00,9.47958
65,03/01/2015 16:00,03/01/2015 17:00,12.27356
66,03/01/2015 17:00,03/01/2015 18:00,10.47743
67,03/01/2015 18:00,03/01/2015 19:00,6.33635
68,03/01/2015 19:00,03/01/2015 20:00,6.43613
69,03/01/2015 20:00,03/01/2015 21:00,7.43398
70,03/01/2015 21:00,03/01/2015 22:00,2.04559
71,03/01/2015 22:00,03/01/2015 23:00,1.94581
72,03/01/2015 23:00,04/01/2015 00:00,7.13463
73,04/01/2015 00:00,04/01/2015 01:00,10.90983
74,04/01/2015 01:00,04/01/2015 02:00,2.66093
75,04/01/2015 02:00,04/01/2015 03:00,2.99355
76,04/01/2015 03:00,04/01/2015 04:00,2.04559
77,04/01/2015 04:00,04/01/2015 05:00,4.34065
78,04/01/2015 05:00,04/01/2015 06:00,0.89807
79,04/01/2015 06:00,04/01/2015 07:00,0.29936
80,04/01/2015 07:00,04/01/2015 08:00,0.59871
81,04/01/2015 08:00,04/01/2015 09:00,1.54667
82,04/01/2015 09:00,04/01/2015 10:00,4.14108
83,04/01/2015 10:00,04/01/2015 11:00,3.9914
84,04/01/2015 11:00,04/01/2015 12:00,14.01979
85,04/01/2015 12:00,04/01/2015 13:00,16.51442
86,04/01/2015 13:00,04/01/2015 14:00,14.71829
87,04/01/2015 14:00,04/01/2015 15:00,8.48173
88,04/01/2015 15:00,04/01/2015 16:00,7.73334
89,04/01/2015 16:00,04/01/2015 17:00,6.28646
90,04/01/2015 17:00,04/01/2015 18:00,3.49248
91,04/01/2015 18:00,04/01/2015 19:00,1.24731
92,04/01/2015 19:00,04/01/2015 20:00,0.89807
93,04/01/2015 20:00,04/01/2015 21:00,0.89807
94,04/01/2015 21:00,04/01/2015 22:00,0.84817
95,04/01/2015 22:00,04/01/2015 23:00,0.84817
96,04/01/2015 23:00,05/01/2015 00:00,1.39699
97,05/01/2015 00:00,05/01/2015 01:00,3.1266
98,05/01/2015 01:00,05/01/2015 02:00,8.51499
99,05/01/2015 02:00,05/01/2015 03:00,2.34495
100,05/01/2015 03:00,05/01/2015 04:00,4.44043
101,05/01/2015 04:00,05/01/2015 05:00,7.93291
102,05/01/2015 05:00,05/01/2015 06:00,6.93506
103,05/01/2015 06:00,05/01/2015 07:00,6.08689
104,05/01/2015 07:00,05/01/2015 08:00,1.14753
105,05/01/2015 08:00,05/01/2015 09:00,0.6486
106,05/01/2015 09:00,05/01/2015 10:00,1.29721
107,05/01/2015 10:00,05/01/2015 11:00,3.44258
108,05/01/2015 11:00,05/01/2015 12:00,4.83957
109,05/01/2015 12:00,05/01/2015 13:00,4.04129
110,05/01/2015 13:00,05/01/2015 14:00,6.98495
111,05/01/2015 14:00,05/01/2015 15:00,8.48173
112,05/01/2015 15:00,05/01/2015 16:00,11.22581
113,05/01/2015 16:00,05/01/2015 17:00,14.21936
114,05/01/2015 17:00,05/01/2015 18:00,16.21506
115,05/01/2015 18:00,05/01/2015 19:00,19.00904
116,05/01/2015 19:00,05/01/2015 20:00,32.43013
117,05/01/2015 20:00,05/01/2015 21:00,36.17206
118,05/01/2015 21:00,05/01/2015 22:00,39.2654
119,05/01/2015 22:00,05/01/2015 23:00,34.22626
120,05/01/2015 23:00,06/01/2015 00:00,25.69464
121,06/01/2015 00:00,06/01/2015 01:00,36.92045
122,06/01/2015 01:00,06/01/2015 02:00,46.03415
123,06/01/2015 02:00,06/01/2015 03:00,40.86196
124,06/01/2015 03:00,06/01/2015 04:00,42.40863
125,06/01/2015 04:00,06/01/2015 05:00,37.41938
126,06/01/2015 05:00,06/01/2015 06:00,31.88131
127,06/01/2015 06:00,06/01/2015 07:00,20.00689
128,06/01/2015 07:00,06/01/2015 08:00,8.78108
129,06/01/2015 08:00,06/01/2015 09:00,7.88302
130,06/01/2015 09:00,06/01/2015 10:00,10.22796
131,06/01/2015 10:00,06/01/2015 11:00,9.28001
132,06/01/2015 11:00,06/01/2015 12:00,9.57936
133,06/01/2015 12:00,06/01/2015 13:00,9.42968
134,06/01/2015 13:00,06/01/2015 14:00,21.85292
135,06/01/2015 14:00,06/01/2015 15:00,21.45378
136,06/01/2015 15:00,06/01/2015 16:00,15.51657
137,06/01/2015 16:00,06/01/2015 17:00,12.32345
138,06/01/2015 17:00,06/01/2015 18:00,4.34065
139,06/01/2015 18:00,06/01/2015 19:00,3.59226
140,06/01/2015 19:00,06/01/2015 20:00,1.89592
141,06/01/2015 20:00,06/01/2015 21:00,1.44688
142,06/01/2015 21:00,06/01/2015 22:00,0.79828
143,06/01/2015 22:00,06/01/2015 23:00,0.6985
144,06/01/2015 23:00,07/01/2015 00:00,0.89807
145,07/01/2015 00:00,07/01/2015 01:00,0.79828
146,07/01/2015 01:00,07/01/2015 02:00,6.71886
147,07/01/2015 02:00,07/01/2015 03:00,15.66625
148,07/01/2015 03:00,07/01/2015 04:00,23.69894
149,07/01/2015 04:00,07/01/2015 05:00,15.81592
150,07/01/2015 05:00,07/01/2015 06:00,9.08044
151,07/01/2015 06:00,07/01/2015 07:00,3.84172
152,07/01/2015 07:00,07/01/2015 08:00,0.94796
153,07/01/2015 08:00,07/01/2015 09:00,1.64645
