date,date_end,o3
01/01/2015 00:00,01/01/2015 01:00,28.00632
01/01/2015 01:00,01/01/2015 02:00,25.0793
01/01/2015 02:00,01/01/2015 03:00,24.29765
01/01/2015 03:00,01/01/2015 04:00,23.74883
01/01/2015 04:00,01/01/2015 05:00,30.93335
01/01/2015 05:00,01/01/2015 06:00,33.17851
01/01/2015 06:00,01/01/2015 07:00,28.33894
01/01/2015 07:00,01/01/2015 08:00,31.23271
01/01/2015 08:00,01/01/2015 09:00,29.98539
01/01/2015 09:00,01/01/2015 10:00,30.5841
01/01/2015 10:00,01/01/2015 11:00,33.12862
01/01/2015 11:00,01/01/2015 12:00,29.18711
01/01/2015 12:00,01/01/2015 13:00,28.98754
01/01/2015 13:00,01/01/2015 14:00,29.53636
01/01/2015 14:00,01/01/2015 15:00,33.9269
01/01/2015 15:00,01/01/2015 16:00,37.2697
01/01/2015 16:00,01/01/2015 17:00,41.2611
01/01/2015 17:00,01/01/2015 18:00,39.81422
01/01/2015 18:00,01/01/2015 19:00,39.51486
01/01/2015 19:00,01/01/2015 20:00,38.5669
01/01/2015 20:00,01/01/2015 21:00,42.70798
01/01/2015 21:00,01/01/2015 22:00,44.25465
01/01/2015 22:00,01/01/2015 23:00,49.79272
01/01/2015 23:00,02/01/2015 00:00,53.08562
02/01/2015 00:00,02/01/2015 01:00,56.54483
02/01/2015 01:00,02/01/2015 02:00,54.68218
02/01/2015 02:00,02/01/2015 03:00,50.79057
02/01/2015 03:00,02/01/2015 04:00,53.78412
02/01/2015 04:00,02/01/2015 05:00,51.63874
02/01/2015 05:00,02/01/2015 06:00,47.54755
02/01/2015 06:00,02/01/2015 07:00,36.87056
02/01/2015 07:00,02/01/2015 08:00,30.18496
02/01/2015 08:00,02/01/2015 09:00,27.14152
02/01/2015 09:00,02/01/2015 10:00,29.23701
02/01/2015 10:00,02/01/2015 11:00,32.18066
02/01/2015 11:00,02/01/2015 12:00,38.26755
02/01/2015 12:00,02/01/2015 13:00,39.914
02/01/2015 13:00,02/01/2015 14:00,39.86411
02/01/2015 14:00,02/01/2015 15:00,37.9183
02/01/2015 15:00,02/01/2015 16:00,25.24561
02/01/2015 16:00,02/01/2015 17:00,14.76818
02/01/2015 17:00,02/01/2015 18:00,4.59011
02/01/2015 18:00,02/01/2015 19:00,2.54452
02/01/2015 19:00,02/01/2015 20:00,0.79828
02/01/2015 20:00,02/01/2015 21:00,2.89377
02/01/2015 21:00,02/01/2015 22:00,6.13678
02/01/2015 22:00,02/01/2015 23:00,6.28646
02/01/2015 23:00,03/01/2015 00:00,3.69205
03/01/2015 00:00,03/01/2015 01:00,9.04717
03/01/2015 01:00,03/01/2015 02:00,16.69736
03/01/2015 02:00,03/01/2015 03:00,29.73593
03/01/2015 03:00,03/01/2015 04:00,39.21551
03/01/2015 04:00,03/01/2015 05:00,51.33938
03/01/2015 05:00,03/01/2015 06:00,23.54926
03/01/2015 06:00,03/01/2015 07:00,30.13507
03/01/2015 07:00,03/01/2015 08:00,15.01764
03/01/2015 08:00,03/01/2015 09:00,8.13248
03/01/2015 09:00,03/01/2015 10:00,5.13893
03/01/2015 10:00,03/01/2015 11:00,9.37979
03/01/2015 11:00,03/01/2015 12:00,9.82882
03/01/2015 12:00,03/01/2015 13:00,8.38194
03/01/2015 13:00,03/01/2015 14:00,2.34495
03/01/2015 14:00,03/01/2015 15:00,4.73979
03/01/2015 15:00,03/01/2015 16:00,9.47958
03/01/2015 16:00,03/01/2015 17:00,12.27356
03/01/2015 17:00,03/01/2015 18:00,10.47743
03/01/2015 18:00,03/01/2015 19:00,6.33635
03/01/2015 19:00,03/01/2015 20:00,6.43613
03/01/2015 20:00,03/01/2015 21:00,7.43398
03/01/2015 21:00,03/01/2015 22:00,2.04559
03/01/2015 22:00,03/01/2015 23:00,1.94581
03/01/2015 23:00,04/01/2015 00:00,7.13463
04/01/2015 00:00,04/01/2015 01:00,10.90983
04/01/2015 01:00,04/01/2015 02:00,2.66093
04/01/2015 02:00,04/01/2015 03:00,2.99355
04/01/2015 03:00,04/01/2015 04:00,2.04559
04/01/2015 04:00,04/01/2015 05:00,4.34065
04/01/2015 05:00,04/01/2015 06:00,0.89807
04/01/2015 06:00,04/01/2015 07:00,0.29936
04/01/2015 07:00,04/01/2015 08:00,0.59871
04/01/2015 08:00,04/01/2015 09:00,1.54667
04/01/2015 09:00,04/01/2015 10:00,4.14108
04/01/2015 10:00,04/01/2015 11:00,3.9914
04/01/2015 11:00,04/01/2015 12:00,14.01979
04/01/2015 12:00,04/01/2015 13:00,16.51442
04/01/2015 13:00,04/01/2015 14:00,14.71829
04/01/2015 14:00,04/01/2015 15:00,8.48173
04/01/2015 15:00,04/01/2015 16:00,7.73334
04/01/2015 16:00,04/01/2015 17:00,6.28646
04/01/2015 17:00,04/01/2015 18:00,3.49248
04/01/2015 18:00,04/01/2015 19:00,1.24731
04/01/2015 19:00,04/01/2015 20:00,0.89807
04/01/2015 20:00,04/01/2015 21:00,0.89807
04/01/2015 21:00,04/01/2015 22:00,0.84817
04/01/2015 22:00,04/01/2015 23:00,0.84817
04/01/2015 23:00,05/01/2015 00:00,1.39699
