,date,date_end,pm2.5
1,01/01/2015 00:00,01/01/2015 01:00,25.1
2,01/01/2015 01:00,01/01/2015 02:00,32.7
3,01/01/2015 02:00,01/01/2015 03:00,27.2
4,01/01/2015 03:00,01/01/2015 04:00,20.5
5,01/01/2015 04:00,01/01/2015 05:00,19.5
6,01/01/2015 05:00,01/01/2015 06:00,16.2
7,01/01/2015 06:00,01/01/2015 07:00,23.7
8,01/01/2015 07:00,01/01/2015 08:00,20.7
9,01/01/2015 08:00,01/01/2015 09:00,21.2
10,01/01/2015 09:00,01/01/2015 10:00,23
11,01/01/2015 10:00,01/01/2015 11:00,21.3
12,01/01/2015 11:00,01/01/2015 12:00,19.7
13,01/01/2015 12:00,01/01/2015 13:00,21.5
14,01/01/2015 13:00,01/01/2015 14:00,24
15,01/01/2015 14:00,01/01/2015 15:00,16.9
16,01/01/2015 15:00,01/01/2015 16:00,18.4
17,01/01/2015 16:00,01/01/2015 17:00,18
18,01/01/2015 17:00,01/01/2015 18:00,13.5
19,01/01/2015 18:00,01/01/2015 19:00,17
20,01/01/2015 19:00,01/01/2015 20:00,19.8
21,01/01/2015 20:00,01/01/2015 21:00,16.2
22,01/01/2015 21:00,01/01/2015 22:00,10.5
23,01/01/2015 22:00,01/01/2015 23:00,6
24,01/01/2015 23:00,02/01/2015 00:00,5.9
25,02/01/2015 00:00,02/01/2015 01:00,3.8
26,02/01/2015 01:00,02/01/2015 02:00,5.4
27,02/01/2015 02:00,02/01/2015 03:00,6.3
28,02/01/2015 03:00,02/01/2015 04:00,3.6
29,02/01/2015 04:00,02/01/2015 05:00,4.1
30,02/01/2015 05:00,02/01/2015 06:00,3.9
31,02/01/2015 06:00,02/01/2015 07:00,2.3
32,02/01/2015 07:00,02/01/2015 08:00,7.5
33,02/01/2015 08:00,02/01/2015 09:00,5.5
34,02/01/2015 09:00,02/01/2015 10:00,9.5
35,02/01/2015 10:00,02/01/2015 11:00,8.1
36,02/01/2015 11:00,02/01/2015 12:00,9.2
37,02/01/2015 12:00,02/01/2015 13:00,9.6
38,02/01/2015 13:00,02/01/2015 14:00,6.9
39,02/01/2015 14:00,02/01/2015 15:00,11.2
40,02/01/2015 15:00,02/01/2015 16:00,8.1
41,02/01/2015 16:00,02/01/2015 17:00,9.7
42,02/01/2015 17:00,02/01/2015 18:00,10.7
43,02/01/2015 18:00,02/01/2015 19:00,10.2
44,02/01/2015 19:00,02/01/2015 20:00,18.5
45,02/01/2015 20:00,02/01/2015 21:00,17.8
46,02/01/2015 21:00,02/01/2015 22:00,17
47,02/01/2015 22:00,02/01/2015 23:00,17
48,02/01/2015 23:00,03/01/2015 00:00,18.9
49,03/01/2015 00:00,03/01/2015 01:00,14
50,03/01/2015 01:00,03/01/2015 02:00,14
51,03/01/2015 02:00,03/01/2015 03:00,6.3
52,03/01/2015 03:00,03/01/2015 04:00,6.9
53,03/01/2015 04:00,03/01/2015 05:00,6
54,03/01/2015 05:00,03/01/2015 06:00,4.8
55,03/01/2015 06:00,03/01/2015 07:00,5.1
56,03/01/2015 07:00,03/01/2015 08:00,5.7
57,03/01/2015 08:00,03/01/2015 09:00,8.8
58,03/01/2015 09:00,03/01/2015 10:00,3.2
59,03/01/2015 10:00,03/01/2015 11:00,12.7
60,03/01/2015 11:00,03/01/2015 12:00,12.9
61,03/01/2015 12:00,03/01/2015 13:00,10.7
62,03/01/2015 13:00,03/01/2015 14:00,8.1
63,03/01/2015 14:00,03/01/2015 15:00,9.3
64,03/01/2015 15:00,03/01/2015 16:00,9
65,03/01/2015 16:00,03/01/2015 17:00,3.7
66,03/01/2015 17:00,03/01/2015 18:00,7.4
67,03/01/2015 18:00,03/01/2015 19:00,8.7
68,03/01/2015 19:00,03/01/2015 20:00,12.7
69,03/01/2015 20:00,03/01/2015 21:00,16.7
70,03/01/2015 21:00,03/01/2015 22:00,19.2
71,03/01/2015 22:00,03/01/2015 23:00,21.8
72,03/01/2015 23:00,04/01/2015 00:00,19.1
73,04/01/2015 00:00,04/01/2015 01:00,21.6
74,04/01/2015 01:00,04/01/2015 02:00,19.6
75,04/01/2015 02:00,04/01/2015 03:00,25.5
76,04/01/2015 03:00,04/01/2015 04:00,26
77,04/01/2015 04:00,04/01/2015 05:00,23.3
78,04/01/2015 05:00,04/01/2015 06:00,25.4
79,04/01/2015 06:00,04/01/2015 07:00,26.8
80,04/01/2015 07:00,04/01/2015 08:00,26
81,04/01/2015 08:00,04/01/2015 09:00,27
82,04/01/2015 09:00,04/01/2015 10:00,24.3
83,04/01/2015 10:00,04/01/2015 11:00,27.6
84,04/01/2015 11:00,04/01/2015 12:00,19.7
85,04/01/2015 12:00,04/01/2015 13:00,18.4
86,04/01/2015 13:00,04/01/2015 14:00,19.5
87,04/01/2015 14:00,04/01/2015 15:00,24.3
88,04/01/2015 15:00,04/01/2015 16:00,23.8
89,04/01/2015 16:00,04/01/2015 17:00,21.3
90,04/01/2015 17:00,04/01/2015 18:00,23.8
91,04/01/2015 18:00,04/01/2015 19:00,27.8
92,04/01/2015 19:00,04/01/2015 20:00,30.9
93,04/01/2015 20:00,04/01/2015 21:00,33.4
94,04/01/2015 21:00,04/01/2015 22:00,30.9
95,04/01/2015 22:00,04/01/2015 23:00,26.9
96,04/01/2015 23:00,05/01/2015 00:00,23.6
97,05/01/2015 00:00,05/01/2015 01:00,24.9
98,05/01/2015 01:00,05/01/2015 02:00,22.1
99,05/01/2015 02:00,05/01/2015 03:00,23.4
100,05/01/2015 03:00,05/01/2015 04:00,20.9
101,05/01/2015 04:00,05/01/2015 05:00,15.7
102,05/01/2015 05:00,05/01/2015 06:00,12.3
103,05/01/2015 06:00,05/01/2015 07:00,8.7
104,05/01/2015 07:00,05/01/2015 08:00,14.4
105,05/01/2015 08:00,05/01/2015 09:00,16
106,05/01/2015 09:00,05/01/2015 10:00,16.9
107,05/01/2015 10:00,05/01/2015 11:00,18.3
108,05/01/2015 11:00,05/01/2015 12:00,18.5
109,05/01/2015 12:00,05/01/2015 13:00,20.3
110,05/01/2015 13:00,05/01/2015 14:00,19.4
111,05/01/2015 14:00,05/01/2015 15:00,15.8
112,05/01/2015 15:00,05/01/2015 16:00,13.4
113,05/01/2015 16:00,05/01/2015 17:00,11.8
114,05/01/2015 17:00,05/01/2015 18:00,10.4
115,05/01/2015 18:00,05/01/2015 19:00,14.6
116,05/01/2015 19:00,05/01/2015 20:00,13.9
117,05/01/2015 20:00,05/01/2015 21:00,11.8
118,05/01/2015 21:00,05/01/2015 22:00,9.7
119,05/01/2015 22:00,05/01/2015 23:00,11.4
120,05/01/2015 23:00,06/01/2015 00:00,12.1
121,06/01/2015 00:00,06/01/2015 01:00,9.9
122,06/01/2015 01:00,06/01/2015 02:00,7.4
123,06/01/2015 02:00,06/01/2015 03:00,10.3
124,06/01/2015 03:00,06/01/2015 04:00,8.5
125,06/01/2015 04:00,06/01/2015 05:00,8.9
126,06/01/2015 05:00,06/01/2015 06:00,9.1
127,06/01/2015 06:00,06/01/2015 07:00,13.1
128,06/01/2015 07:00,06/01/2015 08:00,14.3
129,06/01/2015 08:00,06/01/2015 09:00,13.6
130,06/01/2015 09:00,06/01/2015 10:00,13.8
131,06/01/2015 10:00,06/01/2015 11:00,10.9
132,06/01/2015 11:00,06/01/2015 12:00,12
133,06/01/2015 12:00,06/01/2015 13:00,11.8
134,06/01/2015 13:00,06/01/2015 14:00,8.4
135,06/01/2015 14:00,06/01/2015 15:00,6
136,06/01/2015 15:00,06/01/2015 16:00,8.3
137,06/01/2015 16:00,06/01/2015 17:00,6.2
138,06/01/2015 17:00,06/01/2015 18:00,6.6
139,06/01/2015 18:00,06/01/2015 19:00,10.4
140,06/01/2015 19:00,06/01/2015 20:00,11.8
141,06/01/2015 20:00,06/01/2015 21:00,12.6
142,06/01/2015 21:00,06/01/2015 22:00,9.3
143,06/01/2015 22:00,06/01/2015 23:00,12.4
144,06/01/2015 23:00,07/01/2015 00:00,11.8
145,07/01/2015 00:00,07/01/2015 01:00,11.3
146,07/01/2015 01:00,07/01/2015 02:00,7.6
147,07/01/2015 02:00,07/01/2015 03:00,8.1
148,07/01/2015 03:00,07/01/2015 04:00,11.6
149,07/01/2015 04:00,07/01/2015 05:00,8.2
150,07/01/2015 05:00,07/01/2015 06:00,8.6
151,07/01/2015 06:00,07/01/2015 07:00,8.2
152,07/01/2015 07:00,07/01/2015 08:00,9.2
153,07/01/2015 08:00,07/01/2015 09:00,9.4
154,07/01/2015 09:00,07/01/2015 10:00,9.5
155,07/01/2015 10:00,07/01/2015 11:00,10
8618,07/01/2015 11:00,07/01/2015 12:00,9.7
156,07/01/2015 12:00,07/01/2015 13:00,10.1
157,07/01/2015 13:00,07/01/2015 14:00,12.2
158,07/01/2015 14:00,07/01/2015 15:00,10.4
159,07/01/2015 15:00,07/01/2015 16:00,6.5
160,07/01/2015 16:00,07/01/2015 17:00,7.1
161,07/01/2015 17:00,07/01/2015 18:00,9.8
162,07/01/2015 18:00,07/01/2015 19:00,8.6
163,07/01/2015 19:00,07/01/2015 20:00,9.8
164,07/01/2015 20:00,07/01/2015 21:00,11.1
165,07/01/2015 21:00,07/01/2015 22:00,7.5
166,07/01/2015 22:00,07/01/2015 23:00,9.4
167,07/01/2015 23:00,08/01/2015 00:00,5.3
168,08/01/2015 00:00,08/01/2015 01:00,5.7
169,08/01/2015 01:00,08/01/2015 02:00,5.3
170,08/01/2015 02:00,08/01/2015 03:00,3.6
171,08/01/2015 03:00,08/01/2015 04:00,4.2
172,08/01/2015 04:00,08/01/2015 05:00,5.4
173,08/01/2015 05:00,08/01/2015 06:00,7.2
174,08/01/2015 06:00,08/01/2015 07:00,5.5
175,08/01/2015 07:00,08/01/2015 08:00,7.7
176,08/01/2015 08:00,08/01/2015 09:00,7.4
177,08/01/2015 09:00,08/01/2015 10:00,10.1
178,08/01/2015 10:00,08/01/2015 11:00,11
179,08/01/2015 11:00,08/01/2015 12:00,10.6
180,08/01/2015 12:00,08/01/2015 13:00,11.5
181,08/01/2015 13:00,08/01/2015 14:00,6.9
182,08/01/2015 14:00,08/01/2015 15:00,7.5
183,08/01/2015 15:00,08/01/2015 16:00,7.9
184,08/01/2015 16:00,08/01/2015 17:00,12.8
185,08/01/2015 17:00,08/01/2015 18:00,9.9
186,08/01/2015 18:00,08/01/2015 19:00,10.6
187,08/01/2015 19:00,08/01/2015 20:00,10.8
188,08/01/2015 20:00,08/01/2015 21:00,23.4
189,08/01/2015 21:00,08/01/2015 22:00,19
190,08/01/2015 22:00,08/01/2015 23:00,18.9
191,08/01/2015 23:00,09/01/2015 00:00,3.6
192,09/01/2015 00:00,09/01/2015 01:00,14.1
193,09/01/2015 01:00,09/01/2015 02:00,8.4
194,09/01/2015 02:00,09/01/2015 03:00,9.6
195,09/01/2015 03:00,09/01/2015 04:00,7.4
196,09/01/2015 04:00,09/01/2015 05:00,3.7
197,09/01/2015 05:00,09/01/2015 06:00,5.7
198,09/01/2015 06:00,09/01/2015 07:00,1
199,09/01/2015 07:00,09/01/2015 08:00,5
200,09/01/2015 08:00,09/01/2015 09:00,6.8
201,09/01/2015 09:00,09/01/2015 10:00,7.1
202,09/01/2015 10:00,09/01/2015 11:00,1.2
203,09/01/2015 11:00,09/01/2015 12:00,7.9
204,09/01/2015 12:00,09/01/2015 13:00,3.3
205,09/01/2015 13:00,09/01/2015 14:00,14.1
206,09/01/2015 14:00,09/01/2015 15:00,15.5
207,09/01/2015 15:00,09/01/2015 16:00,11.9
208,09/01/2015 16:00,09/01/2015 17:00,13.6
209,09/01/2015 17:00,09/01/2015 18:00,5.3
210,09/01/2015 18:00,09/01/2015 19:00,7.4
211,09/01/2015 19:00,09/01/2015 20:00,8.3
212,09/01/2015 20:00,09/01/2015 21:00,7.1
213,09/01/2015 21:00,09/01/2015 22:00,3.4
214,09/01/2015 22:00,09/01/2015 23:00,3.1
215,09/01/2015 23:00,10/01/2015 00:00,2.8
216,10/01/2015 00:00,10/01/2015 01:00,1.6
217,10/01/2015 01:00,10/01/2015 02:00,3.7
218,10/01/2015 02:00,10/01/2015 03:00,-0.4
219,10/01/2015 03:00,10/01/2015 04:00,1.6
220,10/01/2015 04:00,10/01/2015 05:00,6.8
221,10/01/2015 05:00,10/01/2015 06:00,1.5
222,10/01/2015 06:00,10/01/2015 07:00,7.5
223,10/01/2015 07:00,10/01/2015 08:00,1.7
224,10/01/2015 08:00,10/01/2015 09:00,4.9
225,10/01/2015 09:00,10/01/2015 10:00,3.8
226,10/01/2015 10:00,10/01/2015 11:00,3
227,10/01/2015 11:00,10/01/2015 12:00,-1.8
228,10/01/2015 12:00,10/01/2015 13:00,6.1
229,10/01/2015 13:00,10/01/2015 14:00,6.8
230,10/01/2015 14:00,10/01/2015 15:00,3.7
231,10/01/2015 15:00,10/01/2015 16:00,8.6
232,10/01/2015 16:00,10/01/2015 17:00,8
233,10/01/2015 17:00,10/01/2015 18:00,9.9
234,10/01/2015 18:00,10/01/2015 19:00,8.7
235,10/01/2015 19:00,10/01/2015 20:00,9.6
236,10/01/2015 20:00,10/01/2015 21:00,9.2
237,10/01/2015 21:00,10/01/2015 22:00,6.7
238,10/01/2015 22:00,10/01/2015 23:00,13.4
239,10/01/2015 23:00,11/01/2015 00:00,8.9
240,11/01/2015 00:00,11/01/2015 01:00,3.3
241,11/01/2015 01:00,11/01/2015 02:00,10.8
242,11/01/2015 02:00,11/01/2015 03:00,5.6
243,11/01/2015 03:00,11/01/2015 04:00,5.8
244,11/01/2015 04:00,11/01/2015 05:00,5.2
245,11/01/2015 05:00,11/01/2015 06:00,6.8
246,11/01/2015 06:00,11/01/2015 07:00,3.3
247,11/01/2015 07:00,11/01/2015 08:00,2.2
248,11/01/2015 08:00,11/01/2015 09:00,6.3
249,11/01/2015 09:00,11/01/2015 10:00,5
250,11/01/2015 10:00,11/01/2015 11:00,4.6
251,11/01/2015 11:00,11/01/2015 12:00,5
252,11/01/2015 12:00,11/01/2015 13:00,7.8
253,11/01/2015 13:00,11/01/2015 14:00,11.5
254,11/01/2015 14:00,11/01/2015 15:00,9.2
255,11/01/2015 15:00,11/01/2015 16:00,12.3
256,11/01/2015 16:00,11/01/2015 17:00,11.6
257,11/01/2015 17:00,11/01/2015 18:00,12.1
258,11/01/2015 18:00,11/01/2015 19:00,8.8
259,11/01/2015 19:00,11/01/2015 20:00,7.4
260,11/01/2015 20:00,11/01/2015 21:00,10
261,11/01/2015 21:00,11/01/2015 22:00,5.4
262,11/01/2015 22:00,11/01/2015 23:00,3.3
263,11/01/2015 23:00,12/01/2015 00:00,4.3
264,12/01/2015 00:00,12/01/2015 01:00,7.4
265,12/01/2015 01:00,12/01/2015 02:00,5.3
266,12/01/2015 02:00,12/01/2015 03:00,4.8
267,12/01/2015 03:00,12/01/2015 04:00,6.7
268,12/01/2015 04:00,12/01/2015 05:00,5.6
269,12/01/2015 05:00,12/01/2015 06:00,6.2
270,12/01/2015 06:00,12/01/2015 07:00,4.3
271,12/01/2015 07:00,12/01/2015 08:00,7.5
272,12/01/2015 08:00,12/01/2015 09:00,5.5
273,12/01/2015 09:00,12/01/2015 10:00,6.8
274,12/01/2015 10:00,12/01/2015 11:00,8.1
275,12/01/2015 11:00,12/01/2015 12:00,5.1
276,12/01/2015 12:00,12/01/2015 13:00,7.7
277,12/01/2015 13:00,12/01/2015 14:00,7.5
