date,day,wd,ws,air_temp,RH,weekday,hour,date_unix
01/01/2015 00:00,01/01/2015,225,5.1,6,78.53790264,4,0,1420070400
01/01/2015 01:00,01/01/2015,215.2583865,4.85,6.5,81.35984248,4,1,1420074000
01/01/2015 02:00,01/01/2015,220,4.1,7,81.42476266,4,2,1420077600
01/01/2015 03:00,01/01/2015,210,4.85,7,87.24885993,4,3,1420081200
01/01/2015 04:00,01/01/2015,220,4.6,8,81.55281966,4,4,1420084800
01/01/2015 05:00,01/01/2015,214.7215171,5.4,8,87.33952994,4,5,1420088400
01/01/2015 06:00,01/01/2015,224.1442315,6.15,8,87.33952994,4,6,1420092000
01/01/2015 07:00,01/01/2015,215,6.7,8.5,84.50932979,4,7,1420095600
01/01/2015 08:00,01/01/2015,200,5.4,8,87.33952994,4,8,1420099200
01/01/2015 09:00,01/01/2015,214.4590739,6.95,9,81.67912964,4,9,1420102800
01/01/2015 10:00,01/01/2015,210,7.2,9,81.67912964,4,10,1420106400
01/01/2015 11:00,01/01/2015,210,7.7,9,84.55402563,4,11,1420110000
01/01/2015 12:00,01/01/2015,220,6.95,9,87.42892162,4,12,1420113600
01/01/2015 13:00,01/01/2015,215.1576327,7.95,9,87.42892162,4,13,1420117200
01/01/2015 14:00,01/01/2015,220,7.7,10,81.80372798,4,14,1420120800
01/01/2015 15:00,01/01/2015,220,8.5,10,84.66039488,4,15,1420124400
01/01/2015 16:00,01/01/2015,220,7.7,10,84.66039488,4,16,1420128000
01/01/2015 17:00,01/01/2015,220,7.95,10.5,79.18881655,4,17,1420131600
01/01/2015 18:00,01/01/2015,220,9.55,11,76.57390512,4,18,1420135200
01/01/2015 19:00,01/01/2015,220,8.75,11,79.2502771,4,19,1420138800
01/01/2015 20:00,01/01/2015,225.2694997,9.3,11,81.92664909,4,20,1420142400
01/01/2015 21:00,01/01/2015,225.7666073,8.5,11,87.60397647,4,21,1420146000
01/01/2015 22:00,01/01/2015,225.2694997,9.3,12,84.86880875,4,22,1420149600
01/01/2015 23:00,01/01/2015,230,9.3,13,82.16759276,4,23,1420153200
02/01/2015 00:00,02/01/2015,240,8.5,13,82.16759276,5,0,1420156800
02/01/2015 01:00,02/01/2015,240,8.2,13,87.7742301,5,1,1420160400
02/01/2015 02:00,02/01/2015,245.3254985,7.7,13,87.7742301,5,2,1420164000
02/01/2015 03:00,02/01/2015,255.348102,7.2,13,90.74351404,5,3,1420167600
02/01/2015 04:00,02/01/2015,265.348102,7.2,13,79.5222237,5,4,1420171200
02/01/2015 05:00,02/01/2015,280,9.55,11.5,67.00769345,5,5,1420174800
02/01/2015 06:00,02/01/2015,284.651898,7.2,11,62.30610241,5,6,1420178400
02/01/2015 07:00,02/01/2015,290,7.45,10,54.00447377,5,7,1420182000
02/01/2015 08:00,02/01/2015,280,7.7,10,57.85549122,5,8,1420185600
02/01/2015 09:00,02/01/2015,280,8,9,55.6177651,5,9,1420189200
02/01/2015 10:00,02/01/2015,270,6.45,9,59.73141272,5,10,1420192800
02/01/2015 11:00,02/01/2015,270,6.7,9,55.6177651,5,11,1420196400
02/01/2015 12:00,02/01/2015,270,7.7,9,51.75417909,5,12,1420200000
02/01/2015 13:00,02/01/2015,270,8.25,9,51.75417909,5,13,1420203600
02/01/2015 14:00,02/01/2015,270,7.7,9,53.6251367,5,14,1420207200
02/01/2015 15:00,02/01/2015,270,5.95,8.5,55.4938305,5,15,1420210800
02/01/2015 16:00,02/01/2015,255.2583865,4.85,8,57.36252431,5,16,1420214400
